generic_name,cardiotoxicity__binary,cardiotoxicity__ternary,dermatological_toxicity__binary,dermatological_toxicity__ternary,hematological__binary,hematological__ternary,infertility__binary,infertility__ternary,liver_toxicity__binary,liver_toxicity__ternary,ototoxicity__binary,ototoxicity__ternary,pulmonary_toxicity__binary,pulmonary_toxicity__ternary,renal_toxicity__binary,renal_toxicity__ternary,SMILES_standardized,SMILES_clean,SMILES_filled,SMILES_source,name_best_query,name_corrected,SMILES_recovered,SMILES_recovered_source,recovery_status,SMILES_recovered_v3,SMILES_recovered_v3_source,recovery_debug_v3
68GA-DOTATATE,0,,1,,0,,0,,0,,0,,0,,0,,CC(O)C(NC(=O)C1CSSCC(NC(=O)C(Cc2ccccc2)NC(=O)CN2CCN(CC(=O)[O-])CCN(CC(=O)[O-])CCN(CC(=O)[O-])CC2)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NC(CCCCN)C(=O)NC(C(C)O)C(=O)N1)C(=O)O.[Ga+3],cc(o)c(nc(=o)c1csscc(nc(=o)c(cc2ccccc2)nc(=o)cn2ccn(cc(=o)[o-])ccn(cc(=o)[o-])ccn(cc(=o)[o-])cc2)c(=o)nc(cc2ccc(o)cc2)c(=o)nc(cc2c[nh]c3ccccc23)c(=o)nc(ccccn)c(=o)nc(c(c)o)c(=o)n1)c(=o)o.[ga+3],CC(O)C(NC(=O)C1CSSCC(NC(=O)C(Cc2ccccc2)NC(=O)CN2CCN(CC(=O)[O-])CCN(CC(=O)[O-])CCN(CC(=O)[O-])CC2)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NC(CCCCN)C(=O)NC(C(C)O)C(=O)N1)C(=O)O.[Ga+3],Original,,,,,,,,
ABACAVIR,1,,1,Most,1,,0,,1,Most,0,,0,,0,,Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,nc1nc(nc2cc2)c2ncn([c@h]3c=c[c@@h](co)c3)c2n1,Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,Original,,,,,,,,
ABALOPARATIDE,1,Most,1,Most,0,,0,,0,,0,,0,,0,,CCC(C)C(NC(=O)C(CO)NC(=O)C(CCCCN)NC(=O)CNC(=O)C(CCCCN)NC(=O)C(CC(=O)O)NC(=O)C(Cc1cnc[nH]1)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CCC(N)=O)NC(=O)C(Cc1cnc[nH]1)NC(=O)C(CCC(=O)O)NC(=O)C(CO)NC(=O)C(NC(=O)C(C)N)C(C)C)C(=O)NC(CCC(N)=O)C(=O)NC(CC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)O)C(=O)NC(CCCCN)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(C)(C)C(=O)NC(CCCCN)C(=O)NC(CC(C)C)C(=O)NC(Cc1cnc[nH]1)C(=O)NC(C(=O)NC(C)C(N)=O)C(C)O,ccc(c)c(nc(=o)c(co)nc(=o)c(ccccn)nc(=o)cnc(=o)c(ccccn)nc(=o)c(cc(=o)o)nc(=o)c(cc1cnc[nh]1)nc(=o)c(cc(c)c)nc(=o)c(cc(c)c)nc(=o)c(ccc(n)=o)nc(=o)c(cc1cnc[nh]1)nc(=o)c(ccc(=o)o)nc(=o)c(co)nc(=o)c(nc(=o)c(c)n)c(c)c)c(=o)nc(ccc(n)=o)c(=o)nc(cc(=o)o)c(=o)nc(cc(c)c)c(=o)nc(cccnc(=n)n)c(=o)nc(cccnc(=n)n)c(=o)nc(cccnc(=n)n)c(=o)nc(ccc(=o)o)c(=o)nc(cc(c)c)c(=o)nc(cc(c)c)c(=o)nc(ccc(=o)o)c(=o)nc(ccccn)c(=o)nc(cc(c)c)c(=o)nc(cc(c)c)c(=o)nc(c)(c)c(=o)nc(ccccn)c(=o)nc(cc(c)c)c(=o)nc(cc1cnc[nh]1)c(=o)nc(c(=o)nc(c)c(n)=o)c(c)o,CCC(C)C(NC(=O)C(CO)NC(=O)C(CCCCN)NC(=O)CNC(=O)C(CCCCN)NC(=O)C(CC(=O)O)NC(=O)C(Cc1cnc[nH]1)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CCC(N)=O)NC(=O)C(Cc1cnc[nH]1)NC(=O)C(CCC(=O)O)NC(=O)C(CO)NC(=O)C(NC(=O)C(C)N)C(C)C)C(=O)NC(CCC(N)=O)C(=O)NC(CC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)O)C(=O)NC(CCCCN)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(C)(C)C(=O)NC(CCCCN)C(=O)NC(CC(C)C)C(=O)NC(Cc1cnc[nH]1)C(=O)NC(C(=O)NC(C)C(N)=O)C(C)O,Original,,,,,,,,
ABEMACICLIB,0,,1,Most,1,Most,1,Most,1,Most,0,,1,Most,1,,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,ccn1ccn(cc2ccc(nc3ncc(f)c(-c4cc(f)c5nc(c)n(c(c)c)c5c4)n3)nc2)cc1,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,Original,,,,,,,,
ABIRATERONE ACETATE,1,Most,1,Most,1,Most,1,Most,1,Most,0,,1,,0,,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@]2(C)C(c4cccnc4)=CC[C@@H]32)C1,cc(=o)o[c@h]1cc[c@@]2(c)c(=cc[c@@h]3[c@@h]2cc[c@]2(c)c(c4cccnc4)=cc[c@@h]32)c1,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@]2(C)C(c4cccnc4)=CC[C@@H]32)C1,Original,,,,,,,,
ACALABRUTINIB,1,,1,Most,1,Most,0,,1,Most,0,,0,,0,,CC#CC(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,cc#cc(=o)n1ccc[c@h]1c1nc(-c2ccc(c(=o)nc3ccccn3)cc2)c2c(n)nccn12,CC#CC(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,Original,,,,,,,,
ACAMPROSATE CALCIUM,0,,1,Most,1,,0,,0,,0,,0,,1,Most,CC(=O)NCCCS(=O)(=O)O.CC(=O)NCCCS(=O)(=O)O,cc(=o)ncccs(=o)(=o)o.cc(=o)ncccs(=o)(=o)o,CC(=O)NCCCS(=O)(=O)O.CC(=O)NCCCS(=O)(=O)O,Original,,,,,,,,
ACARBOSE,0,,1,,1,,0,,1,Most,0,,0,,0,,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)C(O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,c[c@h]1o[c@h](o[c@h]2[c@h](o)[c@@h](o)[c@@h](o[c@h]3[c@h](o)[c@@h](o)c(o)o[c@@h]3co)o[c@@h]2co)[c@h](o)[c@@h](o)[c@@h]1n[c@h]1c=c(co)[c@@h](o)[c@h](o)[c@h]1o,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)C(O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,Original,,,,,,,,
ACEBUTOLOL HYDROCHLORIDE,1,Most,1,,1,,0,,1,,0,,1,,0,,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,cccc(=o)nc1ccc(occ(o)cnc(c)c)c(c(c)=o)c1,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,Original,,,,,,,,
ACETAMINOPHEN,0,,1,Most,1,,1,Most,1,Most,0,,0,,1,Most,CC(=O)Nc1ccc(O)cc1,cc(=o)nc1ccc(o)cc1,CC(=O)Nc1ccc(O)cc1,Original,,,,,,,,
